,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,83,126,Bi,1,896.28,0.05,7/2-,0,0.0,,9/2-,0,896.28,0.07,100.0,,M1+E2,-0.62,0.06,,,0.44,,0.0026,,,,0.0208,0.0008,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
1,83,126,Bi,2,1608.57,0.05,13/2+,0,0.0,,9/2-,0,1608.53,0.08,100.0,,M2+E3,0.33,0.1,,,,,,,0.32,,0.0127,0.0005,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
2,83,126,Bi,3,2442.92,0.06,1/2+,1,896.28,0.05,7/2-,0,1546.52,0.09,100.0,,E3,,,,,,,,,,,0.00639,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
3,83,126,Bi,4,2492.86,0.06,3/2+,3,2442.92,0.06,1/2+,0,49.94,0.07,1.6,0.016,[M1],,,,,,,0.073,,,,14.51,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
4,83,126,Bi,4,2492.86,0.06,3/2+,0,0.0,,9/2-,1,2492.86,0.11,100.0,,[E3],,,,,,,,,,,0.00275,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
5,83,126,Bi,5,2564.14,0.1,(9/2)+,0,0.0,,9/2-,0,2564.12,0.1,100.0,,E1+E3,0.026,0.003,0.00076,,,,,,,,0.00143,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
6,83,126,Bi,6,2583.02,0.08,(7/2)+,1,896.28,0.05,7/2-,0,1686.66,0.1,100.0,2.0,E1,,,9e-05,,,,,,,,0.00136,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
7,83,126,Bi,6,2583.02,0.08,(7/2)+,0,0.0,,9/2-,1,2583.07,0.1,46.0,2.0,E1+E3,0.19,0.03,1.1e-05,,,,,,,,0.00148,3e-05,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
8,83,126,Bi,7,2599.91,0.09,11/2+,2,1608.57,0.05,13/2+,0,992.0,0.5,17.6,2.4,[M1],,,,,,,0.09,,,,0.0196,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
9,83,126,Bi,7,2599.91,0.09,11/2+,0,0.0,,9/2-,1,2599.9,0.1,100.0,2.0,E1+E3,0.051,0.008,0.00026,,,,,,,,0.00145,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
10,83,126,Bi,8,2600.92,0.05,13/2+,2,1608.57,0.05,13/2+,0,992.35,0.02,100.0,1.0,M1(+E2),-0.04,0.04,,,0.03,,0.05,,,,0.0196,,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
