,mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me.1,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,,,,,,1085.0,1110,4,,,2NU,,,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
1,,,5.4,,,1023.8,1171,4,,,1NU,785.6,4.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
2,13.0,1.1,0.43,0.05,,2144.0,51,4,5.0,,,37.7,3.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
3,20.4,1.1,0.22,0.03,,2115.7,79,4,5.9,,A,58.5,3.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
4,24.2,1.1,0.067,0.011,,2101.4,94,4,6.6,,A,69.1,3.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
5,33.1,1.1,0.42,0.07,,2068.8,126,4,6.2,,,92.7,3.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
6,33.8,1.1,0.146,0.025,,2066.2,129,4,6.7,,,94.7,3.0,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
7,41.9,1.2,0.057,0.008,,2037.1,158,4,7.4,,,115.7,3.3,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
8,42.9,1.2,0.94,0.1,,2033.5,161,4,6.2,,,118.4,2.9,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
9,46.7,1.2,0.117,0.016,,2019.8,175,4,7.2,,A,128.2,3.1,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
10,52.2,1.2,0.126,0.017,,2000.4,195,4,7.3,,A,142.1,3.2,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
11,57.8,1.2,0.61,0.08,,1981.2,214,4,6.7,,A,155.6,2.9,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
12,61.3,1.2,0.045,0.012,,1968.8,226,4,7.9,,,164.3,3.3,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
13,64.3,1.2,0.46,0.06,,1958.8,236,4,7.0,,1NU,171.5,2.7,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
14,69.7,1.2,0.37,0.05,,1940.5,254,4,7.2,,A,184.5,2.7,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
15,73.5,1.2,0.23,0.04,,1927.5,267,4,7.5,,A,193.8,3.2,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
16,76.9,1.2,0.21,0.03,,1916.3,279,4,7.6,,,201.6,3.2,91,143,Pa,,0.0,,4+,6.7,,5,h,24120.0,180.0,B-,100.0,,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
17,83.0,1.3,0.0039,0.0002,,1969.9,299,4,6.8,,A,383.3,3.0,91,143,Pa,X,73.92,,(0-),1.159,,11,m,69.54,0.66,B-,99.84,0.04,2194,4,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27
