,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
62,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),14,514.42,0.11,(9/2+),0,131.6,0.2,83.0,46.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
63,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),12,446.82,0.03,(5/2)-,1,199.3,0.3,44.0,22.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
64,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),4,158.631,0.008,(7/2)+,2,487.5,0.2,100.0,10.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
65,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),2,14.4,0.01,(7/2)+,3,631.7,0.7,64.0,46.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
66,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),1,4.413,0.012,(9/2)+,4,641.7,0.4,27.0,11.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
67,86,133,Rn,20,646.09,0.13,(5/2+ 7/2),0,0.0,,5/2+,5,646.1,0.5,64.0,64.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
68,86,133,Rn,21,672.5,0.5,,3,126.726,0.015,(11/2)+,0,545.8,0.5,100.0,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
69,86,133,Rn,22,711.34,0.11,(3/2:9/2+),18,598.721,0.024,(5/2 7/2 9/2)+,0,112.6,,,,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
70,86,133,Rn,22,711.34,0.11,(3/2:9/2+),7,342.792,0.024,(5/2 7/2)-,1,368.56,0.12,100.0,3.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
71,86,133,Rn,22,711.34,0.11,(3/2:9/2+),2,14.4,0.01,(7/2)+,2,696.9,0.7,5.4,2.3,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
72,86,133,Rn,22,711.34,0.11,(3/2:9/2+),0,0.0,,5/2+,3,711.3,0.2,25.1,2.3,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
73,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),12,446.82,0.03,(5/2)-,0,286.0,0.4,23.0,11.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
74,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),9,377.33,0.06,(7/2 9/2)-,1,355.5,0.2,84.0,28.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
75,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),7,342.792,0.024,(5/2 7/2)-,2,390.1,0.2,100.0,11.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
76,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),4,158.631,0.008,(7/2)+,3,574.1,0.7,39.0,16.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
77,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),2,14.4,0.01,(7/2)+,4,718.4,0.4,28.0,11.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
78,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),1,4.413,0.012,(9/2)+,5,728.4,0.8,48.0,13.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
79,86,133,Rn,23,732.84,0.13,(5/2+ 7/2),0,0.0,,5/2+,6,732.8,0.6,11.0,6.0,,,,,,,,,,,,,,19-May-2021,Balraj Singh et al. and ,2024-04-27
