,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,778.87,0.05,0.0044,0.0004,,778.8,,0.0,[M1],,,0.0339,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
1,12.522,,4.530168808e-05,3.9683161377e-06,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
2,72.805,,3.43565457927e-05,3.1709875122e-06,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
3,74.97,,5.77420937693e-05,5.3238655671e-06,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
4,84.986,,1.97354227633e-05,1.8427876514e-06,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
5,86.022,,2.56955204378e-05,2.3972795019e-06,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
6,87.301,,5.9600976745e-06,5.652024109e-07,,,,,,,,,,84,129,Po,,0,,9/2+,3.706,,1,us,3.706e-06,1e-09,A,100,,8536.1,26,82,127,Pb,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2024-04-27
