,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,8525.0,8.0,2.048565,0.0899379345382136,,3195.0,1700000000,300000000.0,84,128,Po,,2930.0,10.0,(18+),45.1,,6,s,45.1,0.6,A,99.93,0.02,8954.19,11,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
1,8784.86,0.12,100.0,,,0.0,1,,84,128,Po,,0.0,,0+,294.3,,8,ns,2.943e-07,8e-10,A,100.0,,8954.19,11,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
2,10180.0,30.0,42.0,0.042,,0.0,155,15.5,84,128,Po,,1476.39,0.17,8+,14.6,,3,ns,1.46e-08,3e-10,A,3.0,1.0,8954.19,11,82,126,Pb,1-Jun-2007,M. J. MARTIN,2024-04-27
