,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
33,84,128,Po,33,,2363.4,0.4,,(6),2.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
34,84,128,Po,34,,2375.6,0.3,,7,2.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
35,84,128,Po,35,,2411.26,0.22,,(11-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
36,84,128,Po,36,,2421.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
37,84,128,Po,37,,2433.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
38,84,128,Po,38,,2467.2,2.0,,10,1.0,0.42,,11.0,ps,4.2e-13,1.1e-13,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
39,84,128,Po,39,,2471.44,0.21,,(9-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
40,84,128,Po,40,,2526.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
41,84,128,Po,41,,2583.26,0.24,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
42,84,128,Po,42,,2604.5,0.6,,5,3.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
43,84,128,Po,43,,2605.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
44,84,128,Po,44,,2667.3,2.0,,5,4.0,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
45,84,128,Po,45,,2702.23,0.22,,(12+),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
46,84,128,Po,46,,2771.72,0.23,,(13-),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
47,84,128,Po,47,,2782.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
48,84,128,Po,48,,2838.9,1.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
49,84,128,Po,49,,2860.7,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
50,84,128,Po,50,,2863.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
51,84,128,Po,51,,2865.8,2.0,,7,3.0,0.38,LE,,ps,3.8e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
52,84,128,Po,52,,2869.1,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
53,84,128,Po,53,,2877.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
54,84,128,Po,54,,2881.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
55,84,128,Po,55,,2882.9,2.0,,,,0.38,LE,,ps,3.8e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
56,84,128,Po,56,,2885.4,0.3,,(14+),1.0,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
57,84,128,Po,57,,2930.0,10.0,,(18+),1.0,45.1,,6.0,s,45.1,0.6,A,99.93,0.02,IT,0.07,0.02,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
58,84,128,Po,58,,2942.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
59,84,128,Po,59,,2975.5,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
60,84,128,Po,60,,3006.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
61,84,128,Po,61,,3012.4,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
62,84,128,Po,62,,3024.5,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
63,84,128,Po,63,,3037.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
64,84,128,Po,64,,3112.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
65,84,128,Po,65,,3156.0,2.0,,7,4.0,0.08,,4.0,ps,8e-14,4e-14,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
66,84,128,Po,66,,3176.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
67,84,128,Po,67,,3195.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
68,84,128,Po,68,,3204.9,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
69,84,128,Po,69,,3211.6,2.0,,,,0.97,LE,,ps,9.7e-13,,,,,,,,,,,,,,,,1-Aug-2020,K. Auranen and E.A. McCutchan,2024-04-27
