Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
22,U-235,23,0,173.0,1.0,0.011,0.005,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
23,U-235,24,0,175.7,0.05,0.076,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
24,U-235,25,0,179.297,0.002,0.0126,0.0029,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
25,U-235,26,0,182.504,0.01,0.411,0.015,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
26,U-235,27,1,185.713,0.002,57.2,0.9,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
27,U-235,28,0,194.942,0.007,0.637,0.015,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
28,U-235,29,0,198.927,0.003,0.042,0.003,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
29,U-235,30,0,199.6,0.1,0.1,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
30,U-235,31,0,202.11,0.003,1.07,0.04,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
31,U-235,32,0,205.311,0.002,5.03,0.07,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
32,U-235,33,0,215.3,0.05,0.0295,0.002,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
33,U-235,34,0,221.392,0.02,0.115,0.006,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
34,U-235,35,0,225.7,0.2,0.0018,0.0006,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
35,U-235,36,0,228.785,0.006,0.0069,0.001,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
36,U-235,37,0,233.47,0.003,0.0332,0.0023,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
37,U-235,38,0,240.876,0.004,0.068,0.004,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
38,U-235,39,0,246.83,0.03,0.0509,0.0029,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
39,U-235,40,0,251.5,0.1,0.067,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
40,U-235,41,0,266.47,0.05,0.0066,0.001,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
41,U-235,42,0,275.129,0.002,0.023,0.008,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
42,U-235,43,0,275.428,0.004,0.0086,0.0023,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
43,U-235,44,0,279.5,0.05,0.26,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
44,U-235,45,0,281.44,0.009,0.0063,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
45,U-235,46,0,282.92,0.05,0.0045,0.0013,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
46,U-235,47,0,289.56,0.04,0.0053,0.001,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
47,U-235,48,0,291.65,0.03,0.037,0.005,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
48,U-235,49,0,294.3,0.1,0.033,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
49,U-235,50,0,301.7,0.1,0.0053,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
50,U-235,51,0,310.69,0.06,0.0053,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
51,U-235,52,0,317.063,0.012,0.0011,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
52,U-235,53,0,325.8,0.1,0.004,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
53,U-235,54,0,343.5,0.2,0.0072,0.0006,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
54,U-235,55,0,345.4,0.1,0.072,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
55,U-235,56,0,345.92,0.03,0.034,0.005,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
