Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
33,Pb-214,15,0,74.815,,5.2212476874370175,0.1699126865993954,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
34,Pb-214,16,3,77.108,,8.735565814684653,0.2819196279505763,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
35,Pb-214,17,0,87.388,,2.992272420056713,0.106122902763608,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
36,Pb-214,18,0,88.458,,3.9079077805940674,0.1377866122235664,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
37,Pb-214,19,0,89.784,,0.9156353605373544,0.0357544065590335,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
38,Bi-214,1,0,273.79,0.05,0.127,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
39,Bi-214,2,0,338.5,0.6,0.11,0.04,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
40,Bi-214,3,0,348.92,0.06,0.105,0.023,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
41,Bi-214,4,0,386.77,0.05,0.295,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
42,Bi-214,5,0,388.89,0.05,0.386,0.005,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
43,Bi-214,6,0,405.72,0.02,0.168,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
44,Bi-214,7,0,454.8,0.03,0.291,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
45,Bi-214,8,0,469.76,0.04,0.132,0.008,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
46,Bi-214,9,1,609.321,0.007,45.44,0.19,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
47,Bi-214,10,0,665.446,0.009,1.54,0.011,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
48,Bi-214,11,0,703.1,0.04,0.482,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
49,Bi-214,12,0,719.86,0.03,0.409,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
50,Bi-214,13,0,752.84,0.03,0.132,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
51,Bi-214,14,0,768.36,0.007,4.89,0.02,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
52,Bi-214,15,0,786.35,0.16,0.32,0.04,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
53,Bi-214,16,0,806.179,0.01,1.262,0.008,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
54,Bi-214,17,0,821.18,0.03,0.164,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
55,Bi-214,18,0,826.41,0.11,0.105,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
56,Bi-214,19,0,934.056,0.008,3.094,0.019,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
57,Bi-214,20,0,964.08,0.03,0.373,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
58,Bi-214,21,0,1051.96,0.03,0.313,0.01,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
59,Bi-214,22,0,1069.97,0.08,0.273,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
60,Bi-214,23,3,1120.294,0.006,14.9,0.08,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
61,Bi-214,24,0,1133.66,0.03,0.254,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
62,Bi-214,25,0,1155.21,0.008,1.634,0.01,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
63,Bi-214,26,0,1207.68,0.03,0.454,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
64,Bi-214,27,0,1226.7,0.3,0.13,0.05,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
65,Bi-214,28,0,1238.122,0.01,5.83,0.03,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
66,Bi-214,29,0,1280.976,0.012,1.435,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
67,Bi-214,30,0,1303.75,0.08,0.105,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
68,Bi-214,31,0,1377.669,0.012,3.985,0.022,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
69,Bi-214,32,0,1385.31,0.014,0.801,0.008,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
70,Bi-214,33,0,1401.515,0.013,1.333,0.008,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
71,Bi-214,34,0,1407.988,0.012,2.388,0.013,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
72,Bi-214,35,0,1509.211,0.01,2.127,0.016,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
73,Bi-214,36,0,1538.53,0.06,0.436,0.023,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
74,Bi-214,37,0,1543.33,0.06,0.309,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
75,Bi-214,38,0,1583.203,0.017,0.708,0.007,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
76,Bi-214,39,0,1594.75,0.08,0.273,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
77,Bi-214,40,0,1599.56,0.12,0.327,0.018,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
78,Bi-214,41,0,1661.274,0.017,1.046,0.008,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
79,Bi-214,42,0,1684.012,0.023,0.218,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
80,Bi-214,43,0,1729.595,0.015,2.87,0.03,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
81,Bi-214,44,2,1764.491,0.014,15.29,0.08,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
82,Bi-214,45,0,1838.36,0.05,0.35,0.014,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
83,Bi-214,46,0,1847.433,0.017,2.027,0.016,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
84,Bi-214,47,0,1873.16,0.05,0.214,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
85,Bi-214,48,0,1896.05,0.14,0.15,0.009,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
86,Bi-214,49,0,2118.513,0.025,1.156,0.01,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
87,Bi-214,50,0,2204.1,0.04,4.92,0.03,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
88,Bi-214,51,0,2293.38,0.03,0.309,0.005,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
89,Bi-214,52,0,2447.69,0.03,1.545,0.011,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
90,Bi-214,53,0,13.292,,0.6081949263906414,0.0266908281575301,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
91,Bi-214,54,0,76.862,,0.4120000589273293,0.0100346706540134,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
92,Bi-214,55,0,79.29,,0.6860950190296908,0.0164645965092316,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
93,Bi-214,56,0,89.837,,0.2362035179129517,0.0066355329518119,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
94,Bi-214,57,0,90.941,,0.3096628119838797,0.0086186422652554,0.0,1-,19.71,2,m,1182.6,B-,99.979,0.0013,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
95,Tl-210,1,0,83.0,30.0,1.9792,0.3958404547289223,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
96,Tl-210,2,0,97.0,30.0,3.9584,1.979200363783313,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
97,Tl-210,3,2,296.0,3.0,79.168,9.89602910262495,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
98,Tl-210,4,0,356.0,10.0,3.9584,1.979200363783313,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
99,Tl-210,5,0,382.0,10.0,2.9688,1.979200204628122,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
100,Tl-210,6,0,480.0,20.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
101,Tl-210,7,0,670.0,20.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
102,Tl-210,8,1,799.6,0.3,98.96,0.03,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
103,Tl-210,9,0,860.0,30.0,6.9272,1.979201114086186,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
104,Tl-210,10,0,910.0,30.0,2.9688,1.979200204628122,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
105,Tl-210,11,0,1070.0,10.0,11.8752,4.948001309619875,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
106,Tl-210,12,0,1110.0,20.0,6.9272,1.979201114086186,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
107,Tl-210,13,0,1210.0,20.0,16.8232,3.958403285416988,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
108,Tl-210,14,3,1316.0,13.0,20.7816,4.948004010709773,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
109,Tl-210,15,0,1410.0,20.0,4.948,1.9792005684113976,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
110,Tl-210,16,0,1490.0,20.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
111,Tl-210,17,0,1540.0,30.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
112,Tl-210,18,0,1590.0,30.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
113,Tl-210,19,0,1650.0,30.0,1.9792,0.9896001818916568,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
114,Tl-210,20,0,2010.0,30.0,6.9272,1.979201114086186,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
115,Tl-210,21,0,2090.0,30.0,4.948,1.9792005684113976,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
116,Tl-210,22,0,2270.0,13.0,2.9688,1.979200204628122,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
117,Tl-210,23,0,2360.0,30.0,7.9168,2.9688009700887665,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
118,Tl-210,24,0,2430.0,30.0,8.9064,2.9688012277685414,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
119,Tl-210,25,0,12.522,,19.39859473742208,4.579036278333618,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
120,Tl-210,26,0,72.805,,2.5369346181029955,0.3657282848342628,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
121,Tl-210,27,0,74.97,,4.263755660677303,0.6144082595137619,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
122,Tl-210,28,0,84.986,,1.4572907740243497,0.2110945933754137,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
123,Tl-210,29,0,86.022,,1.897392587779703,0.2747485575601443,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
124,Tl-210,30,0,87.301,,0.4401018137553535,0.064165623415061,0.0,(5+),1.3,3,m,78.0,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
125,Pb-210,1,0,46.539,0.001,4.25,0.04,0.0,0+,22.2,22,Y,700563756.6359425,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
126,Pb-210,2,0,12.904,,22.66627,1.0027411830539374,0.0,0+,22.2,22,Y,700563756.6359425,B-,100.0,,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2024-04-27,ENSDF
127,Hg-206,1,1,304.896,0.006,26.0,5.0,0.0,0+,8.32,7,m,499.2,B-,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
128,Hg-206,2,0,344.52,0.17,0.55,0.11,0.0,0+,8.32,7,m,499.2,B-,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
129,Hg-206,3,0,649.42,0.05,2.2,0.3,0.0,0+,8.32,7,m,499.2,B-,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
130,Hg-206,4,0,12.148,,2.9504874547712,0.4844620186575134,0.0,0+,8.32,7,m,499.2,B-,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
131,Hg-206,5,3,70.832,,2.299062733096421,0.432531605528366,0.0,0+,8.32,7,m,499.2,B-,100.0,,31-Jan-2008,F.G. KONDEV,2024-04-27,ENSDF
