Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
27,Np-237,28,0,170.62,0.05,0.02,0.004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
28,Np-237,29,0,176.09,0.05,0.016,0.004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
29,Np-237,30,0,180.79,0.05,0.0156,0.001,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
30,Np-237,31,0,186.86,0.35,0.003,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
31,Np-237,32,0,191.43,0.03,0.0187,0.0013,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
32,Np-237,33,0,193.24,0.03,0.0437,0.0018,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
33,Np-237,34,0,194.67,0.2,0.033,0.008,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
34,Np-237,35,0,194.96,0.02,0.182,0.005,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
35,Np-237,36,0,196.85,0.05,0.0209,0.0012,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
36,Np-237,37,0,199.95,0.06,0.0053,0.0008,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
37,Np-237,38,0,201.67,0.025,0.0394,0.0009,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
38,Np-237,39,0,202.9,0.2,0.0048,0.0019,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
39,Np-237,40,0,209.2,0.03,0.0142,0.0009,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
40,Np-237,41,0,212.32,0.02,0.152,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
41,Np-237,42,0,214.01,0.04,0.0357,0.001,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
42,Np-237,43,0,222.6,0.2,0.002,0.001,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
43,Np-237,44,0,229.94,0.05,0.011,0.003,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
44,Np-237,45,0,237.884,0.024,0.0572,0.0009,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
45,Np-237,46,0,248.93,0.1,0.005,0.0014,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
46,Np-237,47,0,257.09,0.2,0.0064,0.0014,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
47,Np-237,48,0,262.44,0.15,0.00471,0.00018,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
48,Np-237,49,0,279.65,0.2,0.0109,0.0004,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
49,Np-237,50,0,288.3,,0.0164,0.0005,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
