Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
29,U-233,4,0,4503.0,2.0,0.001,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
30,U-233,5,0,4507.0,2.0,0.012,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
31,U-233,6,0,4513.0,2.0,0.018,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
32,U-233,7,0,4538.0,2.0,0.004,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
33,U-233,8,0,4565.0,2.0,0.0023,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
34,U-233,9,0,4590.0,2.0,0.007,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
35,U-233,10,0,4611.0,2.0,0.006,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
36,U-233,11,0,4615.0,2.0,0.004,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
37,U-233,12,0,4634.0,2.0,0.01,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
38,U-233,13,0,4641.0,2.0,0.003,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
39,U-233,14,0,4656.0,2.0,0.005,5e-07,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
40,U-233,15,0,4664.0,2.0,0.042,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
41,U-233,16,0,4681.0,,0.01,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
42,U-233,17,0,4687.0,2.0,0.0028,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
43,U-233,18,0,4701.0,2.0,0.06,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
44,U-233,19,0,4729.0,2.0,1.61,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
45,U-233,20,0,4751.0,2.0,0.01,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
46,U-233,21,0,4754.0,2.0,0.163,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
47,U-233,22,0,4758.0,2.0,0.016,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
48,U-233,23,0,4783.5,1.2,13.2,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
