Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
26,Pa-234m,3,0,140.1,1.0,0.00128,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
27,Pa-234m,4,0,184.7,0.5,0.00168,0.00017,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
28,Pa-234m,5,0,203.3,0.8,0.0017,0.0004,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
29,Pa-234m,6,0,209.9,0.4,0.00135,0.00017,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
30,Pa-234m,7,0,258.227,0.003,0.0764,0.0021,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
31,Pa-234m,8,0,338.1,0.8,0.0011,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
32,Pa-234m,9,0,450.97,0.1,0.00311,0.00015,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
33,Pa-234m,10,0,453.58,0.1,0.00213,0.00012,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
34,Pa-234m,11,0,468.43,0.1,0.00229,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
35,Pa-234m,12,0,475.74,0.1,0.00239,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
36,Pa-234m,13,0,507.5,1.0,0.00157,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
37,Pa-234m,14,0,509.2,0.8,0.0021,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
38,Pa-234m,15,0,543.98,0.1,0.00367,0.00016,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
39,Pa-234m,16,0,647.7,0.8,0.00157,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
40,Pa-234m,17,0,649.0,1.0,0.001,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
41,Pa-234m,18,0,655.3,1.0,0.00138,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
42,Pa-234m,19,0,691.0,0.3,0.00892,0.00019,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
43,Pa-234m,20,0,695.5,1.0,0.00162,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
44,Pa-234m,21,0,699.02,0.1,0.0057,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
