,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
35,87,136,Fr,35,,921.63,0.11,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
36,87,136,Fr,36,,987.73,0.11,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
37,87,136,Fr,37,,995.61,0.07,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
38,87,136,Fr,38,,999.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
39,87,136,Fr,39,,1001.94,0.07,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
40,87,136,Fr,40,,1035.28,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
41,87,136,Fr,41,,1042.28,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
42,87,136,Fr,42,,1070.11,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
43,87,136,Fr,43,,1102.81,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
44,87,136,Fr,44,,1120.24,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
45,87,136,Fr,45,,1221.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
46,87,136,Fr,46,,1322.17,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
47,87,136,Fr,47,,1359.12,0.05,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
48,87,136,Fr,48,,1398.29,0.09,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
49,87,136,Fr,49,,1399.17,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
50,87,136,Fr,50,,1512.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
51,87,136,Fr,51,,1540.74,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
52,87,136,Fr,52,,1552.11,0.06,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
53,87,136,Fr,53,,1566.56,0.18,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
54,87,136,Fr,54,,1573.78,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
55,87,136,Fr,55,,1590.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
56,87,136,Fr,56,,1595.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
57,87,136,Fr,57,,1629.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
58,87,136,Fr,58,,1695.43,0.21,,,,,,,,,,,,,,,,,,,,,,,,1-May-2001,E. BROWNE,2024-04-27
