,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
169,93,144,Np,84,2200.9,0.9,39/2-,80,1824.5,0.7,35/2-,0,376.4,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
170,93,144,Np,85,2422.9,0.9,41/2-,81,2024.0,0.7,37/2-,0,398.9,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
171,93,144,Np,86,2473.4,0.6,43/2+,83,2139.9,0.5,41/2+,0,333.9,0.5,22.0,19.0,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
172,93,144,Np,86,2473.4,0.6,43/2+,82,2034.8,0.5,39/2+,1,438.5,0.5,100.0,22.0,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
173,93,144,Np,87,2571.4,0.6,45/2+,83,2139.9,0.5,41/2+,0,431.4,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
174,93,144,Np,88,2601.9,1.0,43/2-,84,2200.9,0.9,39/2-,0,401.0,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
175,93,144,Np,90,2848.8,1.0,45/2-,85,2422.9,0.9,41/2-,0,425.9,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
176,93,144,Np,91,2947.7,0.7,47/2+,87,2571.4,0.6,45/2+,0,376.1,0.5,62.5,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
177,93,144,Np,91,2947.7,0.7,47/2+,86,2473.4,0.6,43/2+,1,474.4,0.5,100.0,38.0,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
178,93,144,Np,92,3028.6,1.1,47/2-,88,2601.9,1.0,43/2-,0,426.7,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
179,93,144,Np,93,3036.1,0.8,49/2+,87,2571.4,0.6,45/2+,0,464.7,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
180,93,144,Np,94,3301.2,1.1,49/2-,90,2848.8,1.0,45/2-,0,452.4,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
181,93,144,Np,95,3455.7,0.8,51/2+,93,3036.1,0.8,49/2+,0,421.7,0.5,80.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
