,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,92,146,U,0,,0.0,,,0+,1.0,4468000000.0,,6,Y,1.4099634525447706e+17,189341555847552.0,A,100.0,,SF,5.45e-05,7e-07,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
1,92,146,U,1,,44.916,0.013,,2+,1.0,206.0,,3,ps,2.06e-10,3e-12,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
2,92,146,U,2,,148.38,0.03,,4+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
3,92,146,U,3,,307.18,0.08,,6+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
4,92,146,U,4,,518.1,0.3,,8+,1.0,23.0,,3,ps,2.3e-11,3e-12,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
5,92,146,U,5,,680.11,0.04,,1-,1.0,35.0,,+19-9,fs,3.5e-14,1.4e-14,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
6,92,146,U,6,,731.93,0.03,,3-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
7,92,146,U,7,,775.9,0.4,,10+,1.0,9.0,,10,ps,9e-12,1e-12,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
8,92,146,U,8,,826.64,0.11,,5-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
9,92,146,U,9,,927.21,0.19,,0+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
10,92,146,U,10,,930.55,0.09,,(1-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
11,92,146,U,11,,950.12,0.2,,2-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
12,92,146,U,12,,966.13,0.04,,2+,2.0,2.4,,+17-7,ps,2.4e-12,1.2e-12,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
13,92,146,U,13,,966.31,0.21,,7-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
14,92,146,U,14,,997.23,0.24,,0+,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
15,92,146,U,15,,997.58,0.07,,3-,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
16,92,146,U,16,,1028.0,,,4-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
17,92,146,U,17,,1037.25,0.07,,2+,3.0,1.13,,12,ps,1.13e-12,1.2e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
18,92,146,U,18,,1056.38,0.21,,4+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
19,92,146,U,19,,1059.66,0.17,,(3+),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
20,92,146,U,20,,1060.27,0.14,,2+,4.0,0.64,,4,ps,6.4e-13,4e-14,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
21,92,146,U,21,,1076.7,0.5,,12+,1.0,4.4,,4,ps,4.4e-12,4e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
22,92,146,U,22,,1105.71,0.07,,3+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
23,92,146,U,23,,1128.84,0.07,,(2-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
24,92,146,U,24,,1130.75,0.24,,4+,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
25,92,146,U,25,,1135.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
26,92,146,U,26,,1150.7,0.4,,9-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
27,92,146,U,27,,1151.0,,,6-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
28,92,146,U,28,,1163.0,,,(4+),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
29,92,146,U,29,,1167.99,0.09,,4+,4.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
30,92,146,U,30,,1168.88,0.23,,3-,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
31,92,146,U,31,,1209.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
32,92,146,U,32,,1223.78,0.14,,2+,5.0,3.5,,4,ps,3.5e-12,4e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
33,92,146,U,33,,1232.0,,,5+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
34,92,146,U,34,,1239.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
35,92,146,U,35,,1242.9,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
36,92,146,U,36,,1260.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
37,92,146,U,37,,1269.2,1.0,,6+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
38,92,146,U,38,,1278.54,0.12,,2+,6.0,2.9,,3,ps,2.9e-12,3e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
39,92,146,U,39,,1311.0,,,6+,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
40,92,146,U,40,,1318.0,,,8-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
41,92,146,U,41,,1354.79,0.24,,(1 2+),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
42,92,146,U,42,,1375.0,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
43,92,146,U,43,,1378.8,0.5,,11-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
44,92,146,U,44,,1381.19,0.09,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
45,92,146,U,45,,1403.0,,,7+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
46,92,146,U,46,,1414.0,0.6,,2+,7.0,1.18,,13,ps,1.18e-12,1.3e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
47,92,146,U,47,,1415.5,0.6,,14+,1.0,2.55,,20,ps,2.55e-12,2e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
48,92,146,U,48,,1446.4,0.9,,(7-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
49,92,146,U,49,,1455.39,0.18,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
50,92,146,U,50,,1482.41,0.08,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
51,92,146,U,51,,1504.0,,,8+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
52,92,146,U,52,,1516.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
53,92,146,U,53,,1528.0,,,10-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
54,92,146,U,54,,1530.2,0.4,,2+,8.0,0.15,,15,ps,1.5e-13,1.5e-14,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
55,92,146,U,55,,1545.8,1.4,,8+,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
56,92,146,U,56,,1561.6,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
57,92,146,U,57,,1594.8,0.12,,(4+),2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
58,92,146,U,58,,1617.5,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
59,92,146,U,59,,1619.0,,,9+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
60,92,146,U,60,,1630.0,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
61,92,146,U,61,,1643.73,0.12,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
62,92,146,U,62,,1644.0,,,(9-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
63,92,146,U,63,,1645.0,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
64,92,146,U,64,,1649.2,0.5,,13-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
65,92,146,U,65,,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
66,92,146,U,66,,1672.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
67,92,146,U,67,,1675.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
68,92,146,U,68,,1712.0,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
69,92,146,U,69,,1741.0,,,10+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
70,92,146,U,70,,1760.9,0.4,,(4+),3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
71,92,146,U,71,,1774.7,,,(3- 4 5-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
72,92,146,U,72,,1778.0,,,12-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
73,92,146,U,73,,1782.0,,,1,1.0,33.0,,4,fs,3.3e-14,4e-15,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
74,92,146,U,74,,1782.3,0.4,,2+,9.0,0.39,,4,ps,3.9e-13,4e-14,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
75,92,146,U,75,,1786.7,1.5,,10+,3.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
76,92,146,U,76,,1788.4,0.6,,16+,1.0,1.74,,13,ps,1.74e-12,1.3e-13,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
77,92,146,U,77,,1793.0,,,1,2.0,80.0,,+40-20,fs,8e-14,3e-14,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
78,92,146,U,78,,1846.0,,,1,3.0,31.0,,4,fs,3.1e-14,4e-15,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
79,92,146,U,79,,1866.0,,,(11-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
80,92,146,U,80,,1875.0,,,11+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
81,92,146,U,81,,1934.3,,,(3-),1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
82,92,146,U,82,,1959.2,0.6,,15-,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
83,92,146,U,83,,1992.2,,,(3-),2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
84,92,146,U,84,,1996.7,0.3,,1-,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
85,92,146,U,85,,2017.7,0.4,,1+,1.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
86,92,146,U,86,,2018.0,,,12+,2.0,,,,,,,,,,,,,,,,,,,,,1-Jun-2014,E. BROWNE and  J. K. TULI,2024-04-27
