,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
36,90,140,Th,36,,1148.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
37,90,140,Th,37,,1176.0,0.3,,(5+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
38,90,140,Th,38,,1184.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
39,90,140,Th,39,,1196.8,1.0,,(4-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
40,90,140,Th,40,,1206.6,0.5,,(12+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
41,90,140,Th,41,,1241.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
42,90,140,Th,42,,1243.0,0.3,,(8+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
43,90,140,Th,43,,1251.2,0.8,,(8+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
44,90,140,Th,44,,1255.4,0.4,,(6+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
45,90,140,Th,45,,1259.2,0.6,,(3-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
46,90,140,Th,46,,1283.6,0.6,,(5-),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
47,90,140,Th,47,,1297.14,0.08,,0+,3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
48,90,140,Th,48,,1322.0,0.5,,(11-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
49,90,140,Th,49,,1322.3,0.5,,(3-),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
50,90,140,Th,50,,1337.2,0.5,,4+,3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
51,90,140,Th,51,,1349.0,0.4,,(7+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
52,90,140,Th,52,,1358.4,0.4,,(9+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
53,90,140,Th,53,,1359.5,0.7,,(2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
54,90,140,Th,54,,1375.28,0.06,,(1 2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
55,90,140,Th,55,,1400.89,0.05,,(2+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
56,90,140,Th,56,,1401.5,0.5,,2+,5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
57,90,140,Th,57,,1420.4,0.5,,(3+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
58,90,140,Th,58,,1440.4,0.8,,(3+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
59,90,140,Th,59,,1447.9,0.5,,0+,4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
60,90,140,Th,60,,1448.4,0.5,,(8+),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
61,90,140,Th,61,,1485.62,0.08,,(4+),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
62,90,140,Th,62,,1496.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
63,90,140,Th,63,,1507.4,0.5,,4+,4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
64,90,140,Th,64,,1520.1,0.8,,(10+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
65,90,140,Th,65,,1524.8,0.5,,2+,6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
66,90,140,Th,66,,1566.2,0.6,,(1-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
67,90,140,Th,67,,1571.8,0.7,,(14+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
68,90,140,Th,68,,1573.51,0.2,,1(-) 2+,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
69,90,140,Th,69,,1584.7,0.6,,(4- 5+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
70,90,140,Th,70,,1589.8,0.3,,0+,5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
71,90,140,Th,71,,1594.7,0.8,,(1-),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
72,90,140,Th,72,,1601.2,1.1,,(3-),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
73,90,140,Th,73,,1612.1,1.0,,(4- 5+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
74,90,140,Th,74,,1616.0,0.6,,(13-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
75,90,140,Th,75,,1618.7,0.9,,(4- 5+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
76,90,140,Th,76,,1628.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
77,90,140,Th,77,,1630.1,0.7,,2+,7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
78,90,140,Th,78,,1638.45,0.09,,(0+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
79,90,140,Th,79,,1653.2,1.1,,(6+),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
80,90,140,Th,80,,1663.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
81,90,140,Th,81,,1668.2,0.7,,(4+),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
82,90,140,Th,82,,1679.1,0.7,,(2+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
83,90,140,Th,83,,1683.3,0.7,,(4-),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
84,90,140,Th,84,,1694.9,0.7,,(4+),6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
85,90,140,Th,85,,1695.71,0.09,,1(-) 2+,2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
86,90,140,Th,86,,1708.8,0.8,,2+,8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
87,90,140,Th,87,,1718.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
88,90,140,Th,88,,1723.5,0.7,,(4+),7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
89,90,140,Th,89,,1745.3,0.8,,(0+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
90,90,140,Th,90,,1750.7,0.8,,(3-),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
91,90,140,Th,91,,1762.3,0.8,,(4+),8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
92,90,140,Th,92,,1769.6,0.8,,(4+),9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
93,90,140,Th,93,,1770.73,0.1,,(1 2+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
94,90,140,Th,94,,1775.22,0.07,,(1 2+),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
95,90,140,Th,95,,1789.4,0.5,,1(-) 2+,3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
96,90,140,Th,96,,1793.1,0.6,,(5-),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
97,90,140,Th,97,,1802.5,0.6,,0+,6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
98,90,140,Th,98,,1810.74,0.06,,(1 2+),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
99,90,140,Th,99,,1812.0,0.8,,4+,5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
100,90,140,Th,100,,1824.9,0.7,,(6+),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
101,90,140,Th,101,,1839.61,0.2,,1(-) 2+,4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
102,90,140,Th,102,,1849.54,0.09,,(2+),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
103,90,140,Th,103,,1851.4,0.7,,(3-),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
104,90,140,Th,104,,1858.2,0.5,,(3-),6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
105,90,140,Th,105,,1868.9,0.7,,(0+)&(6+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
106,90,140,Th,106,,1887.0,0.9,,(2+),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
107,90,140,Th,107,,1902.7,0.09,,(1 2+),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
108,90,140,Th,108,,1910.0,0.9,,(6+),6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
109,90,140,Th,109,,1914.7,0.9,,(1-),3.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
110,90,140,Th,110,,1926.0,0.7,,4+,6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
111,90,140,Th,111,,1931.1,0.8,,(1-),4.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
112,90,140,Th,112,,1939.8,1.1,,(1),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
113,90,140,Th,113,,1947.0,0.6,,4+,7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
114,90,140,Th,114,,1947.1,0.7,,(15-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
115,90,140,Th,115,,1949.87,0.07,,(1 2+),6.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
116,90,140,Th,116,,1956.4,0.6,,2+,9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
117,90,140,Th,117,,1967.0,0.1,,(1 2+),7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
118,90,140,Th,118,,1969.5,0.8,,(16+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
119,90,140,Th,119,,1973.44,0.1,,(1+ 2+),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
120,90,140,Th,120,,1985.4,0.8,,(5-),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
121,90,140,Th,121,,2000.91,0.1,,(1 2+),8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
122,90,140,Th,122,,2001.6,0.8,,(3-),7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
123,90,140,Th,123,,2010.13,0.09,,(1 2+),9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
124,90,140,Th,124,,2017.3,0.7,,(3-),8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
125,90,140,Th,125,,2024.67,0.13,,(1+ 2+),2.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
126,90,140,Th,126,,2032.8,0.7,,4+,8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
127,90,140,Th,127,,2039.1,0.7,,4+,9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
128,90,140,Th,128,,2048.7,0.7,,(4+),10.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
129,90,140,Th,129,,2060.9,1.2,,(3-),9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
130,90,140,Th,130,,2073.2,0.8,,(8+),5.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
131,90,140,Th,131,,2074.9,0.8,,(4+),11.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
132,90,140,Th,132,,2078.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
133,90,140,Th,133,,2085.9,0.8,,(4+),12.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
134,90,140,Th,134,,2093.9,0.7,,0+,7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
135,90,140,Th,135,,2102.0,0.7,,4+,10.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
136,90,140,Th,136,,2118.4,0.6,,4+,11.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
137,90,140,Th,137,,2122.77,0.09,,(1 2+),10.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
138,90,140,Th,138,,2130.7,0.7,,2+,10.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
139,90,140,Th,139,,2133.14,0.12,,,,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
140,90,140,Th,140,,2137.9,0.7,,2+,11.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
141,90,140,Th,141,,2150.5,0.6,,0+,8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
142,90,140,Th,142,,2151.81,0.1,,(1 2+),11.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
