,energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,14.92,,8.423934393021918,,X,L,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
1,85.432,,0.0180945770101107,,X,KA2,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
2,88.471,,0.029556643270354,,X,KA1,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
3,100.119,,0.0103698815218782,,X,KpB1,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
4,101.37,,0.0137712026610543,,X,KB,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
5,102.948,,0.003401321139176,,X,KpB2,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
