,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,4430.0,,4.6e-06,,,992.5,7.1,0.071,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
1,4507.0,,1.7e-05,3e-06,,916.39,7.0,1.0,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
2,4944.0,,2.4e-05,5e-06,,479.28,4600.0,1000.0,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
3,4990.0,,1e-05,3e-06,,432.89,21000.0,7000.0,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
4,5138.0,,0.036,0.006,,290.32,44.0,8.0,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
5,5173.0,,0.218,0.008,1.81e-10,250.783,12.5,0.5,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
6,5211.0,,0.408,0.014,,215.985,10.7,0.4,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
7,5340.36,0.15,26.0,1.0,7.48e-10,84.373,0.96,0.04,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
8,5423.15,0.22,73.4,0.5,313796.16,0.0,1.0,,90,138,Th,,0,,0+,1.9116,,16,Y,60324219.69303007,50491.0815593472,A,100,,5520.15,22,88,136,Ra,08-Mar-2022,Balraj Singh and  Sukhjeet Singh,2024-04-27
