,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,82,132,Pb,0,,0,,,0+,1,27.06,,7.0,m,1623.6,4.2,B-,100.0,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
1,82,132,Pb,1,,835,1.0,,(2+),1,,,,,,,,,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
2,82,132,Pb,2,,1179,2.0,,(4+),1,,,,,,,,,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
3,82,132,Pb,3,,1365,2.0,,(6+),1,,,,,,,,,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
4,82,132,Pb,4,X,1365,,55.0,(8+),1,6.2,,3.0,us,6.2e-06,3e-07,IT,100.0,,,,,,,,,,,,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27
