,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
0,83,132,Bi,0,,0.0,,,(9/2-),1.0,7.6,,2.0,m,456.0,12.0,B-,100.0,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
1,83,132,Bi,1,,183.5,0.3,,(7/2-),1.0,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
2,83,132,Bi,2,,746.6,0.1,,(13/2-),1.0,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
3,83,132,Bi,3,,854.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
4,83,132,Bi,4,,1022.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
5,83,132,Bi,5,,1160.7,0.14,,(17/2-),1.0,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
6,83,132,Bi,6,,1168.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
7,83,132,Bi,7,,1199.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
8,83,132,Bi,8,,1347.5,0.17,,(21/2-),1.0,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
9,83,132,Bi,9,X,1347.5,,19.5,(25/2:29/2)(-),1.0,36.9,,6.0,s,36.9,0.6,IT,76.9,0.5,B-,23.1,0.5,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
10,83,132,Bi,10,,1959.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
