,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,83,132,Bi,1,183.5,0.3,(7/2-),0,0.0,,(9/2-),0,183.5,0.3,100.0,,M1,,,,,,,,,,,1.82,0.03,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
1,83,132,Bi,2,746.6,0.1,(13/2-),0,0.0,,(9/2-),0,746.6,0.1,100.0,,(E2),,,,,,,,,,,0.01258,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
2,83,132,Bi,3,854.5,1.0,,1,183.5,0.3,(7/2-),0,671.0,1.0,100.0,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
3,83,132,Bi,4,1022.5,1.0,,1,183.5,0.3,(7/2-),0,839.0,1.0,100.0,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
4,83,132,Bi,5,1160.7,0.14,(17/2-),2,746.6,0.1,(13/2-),0,414.1,0.1,100.0,,(E2),,,,,,,,,,,0.0491,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
5,83,132,Bi,6,1168.5,1.0,,1,183.5,0.3,(7/2-),0,985.0,1.0,100.0,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
6,83,132,Bi,7,1199.8,0.7,,1,183.5,0.3,(7/2-),0,1016.0,1.0,82.0,30.0,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
7,83,132,Bi,7,1199.8,0.7,,0,0.0,,(9/2-),1,1200.0,1.0,100.0,65.0,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
8,83,132,Bi,8,1347.5,0.17,(21/2-),5,1160.7,0.14,(17/2-),0,186.8,0.1,100.0,,(E2),,,,,,,,,,,0.571,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
9,83,132,Bi,9,1347.5,,(25/2:29/2)(-),8,1347.5,0.17,(21/2-),0,,,,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
10,83,132,Bi,10,1959.8,1.2,,7,1199.8,0.7,,0,760.0,1.0,100.0,,,,,,,,,,,,,,,23-SEP-2013,D. Abriola and  P. Demetriou and  B. Singh and  R. Gowrishankar and  K. Vijay Sai,2024-04-27
